q1,q2,duplicate
Ara sınıfta not ortalamasına göre başarı bursu var mı ?,Başarı bursu ara dönemlerde veriliyor mu?,1
Başarı  bursu ara dönemde veriliyor mu ?,Başarı bursu ara dönemlerde veriliyor mu?,1
Burs ödemeleri ne zaman ve nereye yapılmaktadır ?,Burs ödemesi yapılıyor mu ?,1
Burs ödemeleri ne zaman ve nereye yapılmaktadır ?,burs ödeme imkanı var mı ?,1
Burs ödemesi yapılıyor mu ?,burs ödeme imkanı var mı ?,1
Mevcut bursların devamı için her yıl burs başvurusu yapmam gerekiyor mu ?,burslarım var her yıl yeniden başvurmam gerekiyor mu ?,1
Mevcut bursların devamı için her yıl burs başvurusu yapmam gerekiyor mu ?,Şuan burs alıyorum her yıl yenilemem gerekiyor mu ?,1
burslarım var her yıl yeniden başvurmam gerekiyor mu ?,Şuan burs alıyorum her yıl yenilemem gerekiyor mu ?,1
Bölüme birinci olarak giren öğrencilere burs imkanı var mı ?,Birinci olarak bölüme giren öğrencilere ek burs var mı ?,1
Bölüme birinci olarak giren öğrencilere burs imkanı var mı ?,Yüksek başarı ile gelen öğrencilere ek burs var mı ?,1
Birinci olarak bölüme giren öğrencilere ek burs var mı ?,Yüksek başarı ile gelen öğrencilere ek burs var mı ?,1
Yaz okulu notları bursun devamı için başarıyı etkiler mi ?,Yaz okulundaki notlarım bursumu etkiler mi?,1
Yaz okulu notları bursun devamı için başarıyı etkiler mi ?,Yaz okulu notları bursu etkiliyor mu ?,1
Yaz okulundaki notlarım bursumu etkiler mi?,Yaz okulu notları bursu etkiliyor mu ?,1
Okulunuzdan burs almaktayım tekrar burs almak için tekrar evrak hazırlamam gerekiyor mu ?,Burs almaktayım bi daha burs almak için evrak hazırlamam gerekiyor mu ?,1
Okulunuzdan burs almaktayım tekrar burs almak için tekrar evrak hazırlamam gerekiyor mu ?,Önceden burs almıştım bi daha başvururken evrak gerekiyor mu ?,1
Burs almaktayım bi daha burs almak için evrak hazırlamam gerekiyor mu ?,Önceden burs almıştım bi daha başvururken evrak gerekiyor mu ?,1
Burs sonuçlarını nereden öğrenebilirim ?,Bursa başvurdum nerenden sonucunu görebilirim ?,1
Burs sonuçlarını nereden öğrenebilirim ?,Burs sonuçları nereden açıklanıyor ?,1
Bursa başvurdum nerenden sonucunu görebilirim ?,Burs sonuçları nereden açıklanıyor ?,1
İhtiyaç bursu nedir ?,İhtiyaç bursu ne demektir ?,1
İhtiyaç bursu nedir ?,İhtiyaç bursunun anlamı nedir ?,1
İhtiyaç bursu ne demektir ?,İhtiyaç bursunun anlamı nedir ?,1
İhtiyaç bursu nasıl alınır ?,İhtiyaç bursu için nereye başvurmam gerekiyor ?,1
İhtiyaç bursu nasıl alınır ?,İhtiyaç bursu için nereye gitmem gerekiyor ?,1
İhtiyaç bursu için nereye başvurmam gerekiyor ?,İhtiyaç bursu için nereye gitmem gerekiyor ?,1
Engelli Öğrenci Birimi hangi konularda destek sağlamaktadır?,Engelli öğrenciler için nasıl bir destek var,1
Engelli Öğrenci Birimi hangi konularda destek sağlamaktadır?,Engelli Öğrenci Birimi hangi konularda yardımcı olmakta?,1
Engelli öğrenciler için nasıl bir destek var,Engelli Öğrenci Birimi hangi konularda yardımcı olmakta?,1
Ben engelli bir öğrenciyim. Sınavlar ve derslerde nasıl bir destek alabilirim?,Engelli bir öğrenci olarak nasıl bir destek veriyorsunuz,1
Ben engelli bir öğrenciyim. Sınavlar ve derslerde nasıl bir destek alabilirim?,Engelli öğrencilere sınavlar ve derslerde ne gibi imkanlar sağlıyorsunuz?,1
Engelli bir öğrenci olarak nasıl bir destek veriyorsunuz,Engelli öğrencilere sınavlar ve derslerde ne gibi imkanlar sağlıyorsunuz?,1
Ben engelli bir öğrenciyim. Kampüse ulaşımım için Üniversite’den destek alabilir miyim?,Engelli öğrencilerin kampüse ulaşımında nasıl bir destek var,1
Ben engelli bir öğrenciyim. Kampüse ulaşımım için Üniversite’den destek alabilir miyim?,Engelli öğrencilere üniversite ulaşım hizmeti sağlıyor mu?,1
Engelli öğrencilerin kampüse ulaşımında nasıl bir destek var,Engelli öğrencilere üniversite ulaşım hizmeti sağlıyor mu?,1
Üniversiteniz de engellilerin destek alabileceği birim var mı ?,Üniversiteniz de engelliler için birim mevcut mu ?,1
Üniversiteniz de engellilerin destek alabileceği birim var mı ?,Engelliler için özel bi departmanınız var mı ?,1
Üniversiteniz de engelliler için birim mevcut mu ?,Engelliler için özel bi departmanınız var mı ?,1
Görevli Öğrenci Programı’na ne zaman başvurabilirim?,Görevli çalışan öğrenci için ne zaman başvurmalıyım,1
Görevli Öğrenci Programı’na ne zaman başvurabilirim?,Görevli Öğrenci Programı alımı ne zaman yapılmakta?,1
Görevli çalışan öğrenci için ne zaman başvurmalıyım,Görevli Öğrenci Programı alımı ne zaman yapılmakta?,1
Görevli Öğrenci Programı’nın başvuru şartları nelerdir?,Görevli öğrenciler için herhangi bir şart var mı ,1
Görevli Öğrenci Programı’nın başvuru şartları nelerdir?,Görevli Öğrenci Programına alım için gerekli şartlar nelerdir?,1
Görevli öğrenciler için herhangi bir şart var mı ,Görevli Öğrenci Programına alım için gerekli şartlar nelerdir?,1
Başvuru süresini kaçırdım. Ne yapmam gerekir?,Görevli öğrenci için başvuruyu kaçıranlar ne yapmalı,1
Başvuru süresini kaçırdım. Ne yapmam gerekir?,Başvuruyu zamanında yapamadım. Ekstra zaman tanınacak mı?,1
Görevli öğrenci için başvuruyu kaçıranlar ne yapmalı,Başvuruyu zamanında yapamadım. Ekstra zaman tanınacak mı?,1
Üniversite’nin hangi birimlerinde çalışabilirim?,Üniversitede çalışma olanakları nelerdir,1
Üniversite’nin hangi birimlerinde çalışabilirim?,Üniversitede hangi birimlerde çalışma imkanı sağlanıyor?,1
Üniversitede çalışma olanakları nelerdir,Üniversitede hangi birimlerde çalışma imkanı sağlanıyor?,1
Görevli Öğrenci Programı’na başlarsam alacağım destek nelerdir?,Görevli çalışan öğrenci için ne gibi destek alıyorum,1
Görevli Öğrenci Programı’na başlarsam alacağım destek nelerdir?,Üniversitede çalışmak ne gibi imkanlar sağlar?,1
Görevli çalışan öğrenci için ne gibi destek alıyorum,Üniversitede çalışmak ne gibi imkanlar sağlar?,1
Başvurum hangi kriterlere göre değerlendirilmekte?,Çalışan öğrencide değerlendirme nasıl yapılıyor,1
Başvurum hangi kriterlere göre değerlendirilmekte?,Üniversitede çalışmak için hangi kriterlere bakılıyor?,1
Çalışan öğrencide değerlendirme nasıl yapılıyor,Üniversitede çalışmak için hangi kriterlere bakılıyor?,1
Başvurum olumlu ise takip etmem gereken başka bir süreç var mı?,Çalışan Öğrenci başvurum başarılı olursa ne yapmalıyım,1
Başvurum olumlu ise takip etmem gereken başka bir süreç var mı?,Olumlu dönüş alırsam başka yapmam gereken bişey var mı ?,1
Çalışan Öğrenci başvurum başarılı olursa ne yapmalıyım,Olumlu dönüş alırsam başka yapmam gereken bişey var mı ?,1
Başvurum olumsuz ise tekrar ne zaman başvurabilirim?,Çalışan öğrenci başvurum başarısız olursa ne zaman tekrar başvurabilir miyim,1
Başvurum olumsuz ise tekrar ne zaman başvurabilirim?,Olumsuz dönüş alırsam tekrar başvurular ne zaman olur ?,1
Çalışan öğrenci başvurum başarısız olursa ne zaman tekrar başvurabilir miyim,Olumsuz dönüş alırsam tekrar başvurular ne zaman olur ?,1
Görevli Öğrenci Programı’na başladığımda derslerime olumsuz etkisi olur mu?,Görevli öğrenci olduğumda derslerim olumsuz etkilenir mi,1
Görevli Öğrenci Programı’na başladığımda derslerime olumsuz etkisi olur mu?,Üniversitede çalışırsam derslerim ile çakışır mı?,1
Görevli öğrenci olduğumda derslerim olumsuz etkilenir mi,Üniversitede çalışırsam derslerim ile çakışır mı?,1
Kariyer Merkezi’nin sunduğu hizmetler ücretli midir?,Kariyer merkezindeki hizmetler ücrete tabi mi,1
Kariyer Merkezi’nin sunduğu hizmetler ücretli midir?,Kariyer merkezindeki imkanlar ücretli mi?,1
Kariyer merkezindeki hizmetler ücrete tabi mi,Kariyer merkezindeki imkanlar ücretli mi?,1
İstanbul Bilgi Üniversitesi dışından gelen arkadaşlarım Kariyer Merkezi etkinliklerine katılabilir mi?,Üniversite dışından gelenler kariyer merkezinden yararlanabilirler mi,1
İstanbul Bilgi Üniversitesi dışından gelen arkadaşlarım Kariyer Merkezi etkinliklerine katılabilir mi?,Aynı üniversiteden olmayanlar kariyer merkezindeki etkinliklere katılabilir mi?,1
Üniversite dışından gelenler kariyer merkezinden yararlanabilirler mi,Aynı üniversiteden olmayanlar kariyer merkezindeki etkinliklere katılabilir mi?,1
Kariyer Merkezi bana iş/staj bulur mu?,Kariyer merkezi iş ve staj konusunda yardımcı oluyor mu,1
Kariyer Merkezi bana iş/staj bulur mu?,Üniversite iş ve staj konusunda yardım ediyor mu ?,1
Kariyer merkezi iş ve staj konusunda yardımcı oluyor mu,Üniversite iş ve staj konusunda yardım ediyor mu ?,1
Kariyer Merkezi beni bana uygun olan işlere yönlendirir mi?,kariyer merkezi uygun işlere yönlendirebiliyor mu,1
Kariyer Merkezi beni bana uygun olan işlere yönlendirir mi?,Kariyer merkezi kendi alanıma uygun işlere yönlendirebilir mi ?,1
kariyer merkezi uygun işlere yönlendirebiliyor mu,Kariyer merkezi kendi alanıma uygun işlere yönlendirebilir mi ?,1
Kariyer Merkezi’nden hangi hizmetleri alabilirim?,kariyer merkezinin hizmetleri nelerdir,1
Kariyer Merkezi’nden hangi hizmetleri alabilirim?,Kariyer merkezi hangi konularda yardımcı olabilir?,1
kariyer merkezinin hizmetleri nelerdir,Kariyer merkezi hangi konularda yardımcı olabilir?,1
Öğrenci değil  mezunum. Kariyer Merkezi’nden ben de faydalanabilir miyim?,mezun olan öğrenciler kariyer merkezinden yararlanabilir mi?,1
Öğrenci değil  mezunum. Kariyer Merkezi’nden ben de faydalanabilir miyim?,Okulu bitirmiş olanlar kariyer merkezinden yararlanabilir mi ?,1
mezun olan öğrenciler kariyer merkezinden yararlanabilir mi?,Okulu bitirmiş olanlar kariyer merkezinden yararlanabilir mi ?,1
Kariyer Merkezi hangi saatler arası çalışır?,kariyer merkezi ne zaman açık oluyor,1
Kariyer Merkezi hangi saatler arası çalışır?,Kariyer merkezi çalışma saatleri nedir?,1
kariyer merkezi ne zaman açık oluyor,Kariyer merkezi çalışma saatleri nedir?,1
Kariyer Merkezi’ne nasıl başvurabilirim?,kariyer merkezine nasıl başvuru yapılır,1
Kariyer Merkezi’ne nasıl başvurabilirim?,Kariyer merkezine başvurma yolu nedir?,1
kariyer merkezine nasıl başvuru yapılır,Kariyer merkezine başvurma yolu nedir?,1
Gönüllü staj nedir? Benim için avantajı nelerdir?,Gönüllü staj yapmak nedir,1
Gönüllü staj nedir? Benim için avantajı nelerdir?,Gönüllü staj ne demektir?,1
Gönüllü staj yapmak nedir,Gönüllü staj ne demektir?,1
Gönüllü staj yapmak istiyorum. Ne yapmam gerekir?,Gönüllü staj için ne yapmalıyım,1
Gönüllü staj yapmak istiyorum. Ne yapmam gerekir?,Gönüllü staj için ne yapmak gerekir?,1
Gönüllü staj için ne yapmalıyım,Gönüllü staj için ne yapmak gerekir?,1
Staj işlemleri staj sigortası hakkında detaylı bilgiyi nereden alabilirim ?,Staj sigortası ve staj işlemlerini nereden öğrenebilirim ?,1
Staj işlemleri staj sigortası hakkında detaylı bilgiyi nereden alabilirim ?,Staj departmanı ile nasıl görüşebilirim ?,1
Staj sigortası ve staj işlemlerini nereden öğrenebilirim ?,Staj departmanı ile nasıl görüşebilirim ?,1
Gönüllü Stajlar ne demektir ?,Gönüllü Staj ne anlama gelmektedir ?,1
Gönüllü Stajlar ne demektir ?,Gönüllü Staj nedir ?,1
Gönüllü Staj ne anlama gelmektedir ?,Gönüllü Staj nedir ?,1
Gönüllü Staj nasıl yapabilirim ?,Gönüllü Staj yapmak istiyorum,1
Gönüllü Staj nasıl yapabilirim ?,Gönüllü Staj nasıl yapılır ?,1
Gönüllü Staj yapmak istiyorum,Gönüllü Staj nasıl yapılır ?,1
Gönüllü Staj yaparsam zorunlu staj yerine geçer mi ?,Zorunlu stajımın yerine gönüllü yaparsam olur mu ?,1
Gönüllü Staj yaparsam zorunlu staj yerine geçer mi ?,Gönüllü Staj yaparsam zorunlu stajımı muaf edebilir miyim ?,1
Zorunlu stajımın yerine gönüllü yaparsam olur mu ?,Gönüllü Staj yaparsam zorunlu stajımı muaf edebilir miyim ?,1
Gönüllü Stajda sigortamı okul mu karşılıyor ?,Gönüllü Stajda sigortam karşılanıyor mu ?,1
Gönüllü Stajda sigortamı okul mu karşılıyor ?,Gönüllü Staj sgk yı neresi ödüyor ?,1
Gönüllü Stajda sigortam karşılanıyor mu ?,Gönüllü Staj sgk yı neresi ödüyor ?,1
Gönüllü Staja başlamadan önce ne zaman okula bildirmem gerekiyor ?,Gönüllü Staj için okula ne zaman bildirmem gerekiyor ?,1
Gönüllü Staja başlamadan önce ne zaman okula bildirmem gerekiyor ?,Gönüllü Staj işlemleri için okula ne zaman başvurmam gerekiyor ?,1
Gönüllü Staj için okula ne zaman bildirmem gerekiyor ?,Gönüllü Staj işlemleri için okula ne zaman başvurmam gerekiyor ?,1
İş ve staj ilanlarını nereden bulabilirim ?,İş ve staj imkanları nereden paylaşılıyor ?,1
İş ve staj ilanlarını nereden bulabilirim ?,İş ve staj ilanlarına nereden ulaşabilirim ?,1
İş ve staj imkanları nereden paylaşılıyor ?,İş ve staj ilanlarına nereden ulaşabilirim ?,1
Staj için gerekli evraklar nelerdir ?,Staj için gerekli evrakları öğrenebilir miyim ?,1
Staj için gerekli evraklar nelerdir ?,Staj için hangi evraklar gerekiyor ?,1
Staj için gerekli evrakları öğrenebilir miyim ?,Staj için hangi evraklar gerekiyor ?,1
Koçluk ve danışmanlık arasındaki fark nedir?,koçluk ve danışmanlık nedir farkları var mıdır,1
Koçluk ve danışmanlık arasındaki fark nedir?,Koçluk ve Danışmanlık ne demektir aralarındaki fark nedir?,1
koçluk ve danışmanlık nedir farkları var mıdır,Koçluk ve Danışmanlık ne demektir aralarındaki fark nedir?,1
Sertifika programlarına katılım şartı nedir?,sertifika programlarına katılım için ne gibi şartlar gereklidir.,1
Sertifika programlarına katılım şartı nedir?,Sertifika programlarına katılım kriterleri nelerdir?,1
sertifika programlarına katılım için ne gibi şartlar gereklidir.,Sertifika programlarına katılım kriterleri nelerdir?,1
Sertifika Programlarından katılım belgesi alma şartları nelerdir?,sertifika programından katılım sertifikası nasıl alırız,1
Sertifika Programlarından katılım belgesi alma şartları nelerdir?,Sertifika programlarından katılım belgesi alma kriterleri nelerdir?,1
sertifika programından katılım sertifikası nasıl alırız,Sertifika programlarından katılım belgesi alma kriterleri nelerdir?,1
Sertifika programları sonunda staj imkanı sağlanır mı?,sertifika programlarında sataj olanakları nelerdir,1
Sertifika programları sonunda staj imkanı sağlanır mı?,Sertifika programlarının staj bulmada faydası var mı ?,1
sertifika programlarında sataj olanakları nelerdir,Sertifika programlarının staj bulmada faydası var mı ?,1
Onur ve Yüksek Onur Listesi nedir  nasıl girebilirim?,yüksek onur listesi nedir,1
Onur ve Yüksek Onur Listesi nedir  nasıl girebilirim?,Onur ne demektir nasıl onur listesine girilir?,1
yüksek onur listesi nedir,Onur ne demektir nasıl onur listesine girilir?,1
Bilgi sertifika programlarına kimler katılabilir ?,Bilgi sertifika programına katılmak istiyorum,1
Bilgi sertifika programlarına kimler katılabilir ?,bilgi sertifika programına katılma şartları nedir ?,1
Bilgi sertifika programına katılmak istiyorum,bilgi sertifika programına katılma şartları nedir ?,1
Bilgi sertifika programı ne zaman ?,bilgi sertifika programı ne zaman yapılıyor ,1
Bilgi sertifika programı ne zaman ?,Bilgi sertifika programı hangi tarih aralıgında ?,1
bilgi sertifika programı ne zaman yapılıyor ,Bilgi sertifika programı hangi tarih aralıgında ?,1
Bilgi sertifika programı nerede ?,Bilgi sertifika programı nerede yapılıyor ?,1
Bilgi sertifika programı nerede ?,bilgi sertifika programı hangi kampüste ?,1
Bilgi sertifika programı nerede yapılıyor ?,bilgi sertifika programı hangi kampüste ?,1
Bilgi sertifika programına katılım ücretli mi ?,Bilgi sertifika programına katılmak istiyorum ücretli mi ?,1
Bilgi sertifika programına katılım ücretli mi ?,Bilgi sertifika programının fiyatı ne kadar ?,1
Bilgi sertifika programına katılmak istiyorum ücretli mi ?,Bilgi sertifika programının fiyatı ne kadar ?,1
Mentorluk Programı nedir?,mentorluk programı tam olarak ne işe yarar,1
Mentorluk Programı nedir?,Mentorluk Programı ne demektir?,1
mentorluk programı tam olarak ne işe yarar,Mentorluk Programı ne demektir?,1
Kaynak gecikme bedelini nasıl ödeyebilirim?,kitapların ve kaynakları gecikme bedelini nasıl ödeyeceğim,1
Kaynak gecikme bedelini nasıl ödeyebilirim?,Kaynak ve kitapların gecikme ücretini nasıl öderim ?,1
kitapların ve kaynakları gecikme bedelini nasıl ödeyeceğim,Kaynak ve kitapların gecikme ücretini nasıl öderim ?,1
Kütüphanelerarası ödünç verme yoluyla (ILL) nasıl kitap getirtebilirim?,diğer kütüphanelerden ILL ile nasıl kitap getirtebilirim ,1
Kütüphanelerarası ödünç verme yoluyla (ILL) nasıl kitap getirtebilirim?,ILL yoluyla kitap getirmek nasıl oluyor ?,1
diğer kütüphanelerden ILL ile nasıl kitap getirtebilirim ,ILL yoluyla kitap getirmek nasıl oluyor ?,1
Kütüphane hangi saatlerde açıktır?,kütüphane hangi saatler arası açık oluyor,1
Kütüphane hangi saatlerde açıktır?,Kütüphanenin çalışma saatleri nedir?,1
kütüphane hangi saatler arası açık oluyor,Kütüphanenin çalışma saatleri nedir?,1
Ödünç aldığım kaynağın kullanım süresini nasıl uzatabilirim?,aldığım kitapların ve kaynakların süresini nasıl uzatabilirim,1
Ödünç aldığım kaynağın kullanım süresini nasıl uzatabilirim?,Kütüphaneden kitap aldım süresini nasıl uzatabilirim ?,1
aldığım kitapların ve kaynakların süresini nasıl uzatabilirim,Kütüphaneden kitap aldım süresini nasıl uzatabilirim ?,1
İstanbul Bilgi Üniversitesi'nden mezun öğrenciler Kütüphane'den faydalanabilir mi?,mezun öğrenciler kütüphaneden yararlanabiliyorlar mı,1
İstanbul Bilgi Üniversitesi'nden mezun öğrenciler Kütüphane'den faydalanabilir mi?,Okulu bitirmiş öğrenciler kütüphaneden faydalanabilir mi ?,1
mezun öğrenciler kütüphaneden yararlanabiliyorlar mı,Okulu bitirmiş öğrenciler kütüphaneden faydalanabilir mi ?,1
E-kitaplardan nasıl yararlanabilirim?,E-kitap olanakları nelerdir nasıl yararlanırım,1
E-kitaplardan nasıl yararlanabilirim?,E-kitap imkanları nedir nasıl faydalanabilirim?,1
E-kitap olanakları nelerdir nasıl yararlanırım,E-kitap imkanları nedir nasıl faydalanabilirim?,1
Kuştepe kampüsünde kütüphane var mı?,Hazırlıkta kütüphane var mı?,1
Kuştepe kampüsünde kütüphane var mı?,Kuştepe de kütüphane var mı?,1
Hazırlıkta kütüphane var mı?,Kuştepe de kütüphane var mı?,1
Okulun zorunlu kitapları var mı ?,Bölüme geçtim almam gereken kitaplar var mı ?,1
Okulun zorunlu kitapları var mı ?,Bölümümde almam gereken zorunlu kitaplar var mı ?,1
Bölüme geçtim almam gereken kitaplar var mı ?,Bölümümde almam gereken zorunlu kitaplar var mı ?,1
Okulun önerdiği kaynakları nereden bulabilirim ?,Dersin önerdiği kitabı nereden bulabilirim ?,1
Okulun önerdiği kaynakları nereden bulabilirim ?,Hocamızın önerdiği kitapları nereden bulabilirim ?,1
Dersin önerdiği kitabı nereden bulabilirim ?,Hocamızın önerdiği kitapları nereden bulabilirim ?,1
Şifremi unuttum. Ne yapmalıyım?,şifremi unuttum nasıl alırım,1
Şifremi unuttum. Ne yapmalıyım?,Şifremi kaybettim nasıl alabilirim?,1
şifremi unuttum nasıl alırım,Şifremi kaybettim nasıl alabilirim?,1
PIN nasıl oluşturulur?,PIN numarası nedir nasıl oluşturulur,1
PIN nasıl oluşturulur?,PIN kodu ne demektir ve nasıl alınır?,1
PIN numarası nedir nasıl oluşturulur,PIN kodu ne demektir ve nasıl alınır?,1
SIS şifremi hatırlamıyorum. Ne yapmalıyım?,SIS şifremi hatırlamıyorum ne yapabilirim,1
SIS şifremi hatırlamıyorum. Ne yapmalıyım?,SIS şifremi unuttum nasıl alabirim?,1
SIS şifremi hatırlamıyorum ne yapabilirim,SIS şifremi unuttum nasıl alabirim?,1
BİLGİ Learn SIS veya bilgiedu.net servislerine erişim şifremi unuttum  nasıl öğrenebilirim?,okul sis şifremi unuttum ne yapabilirm,1
BİLGİ Learn SIS veya bilgiedu.net servislerine erişim şifremi unuttum  nasıl öğrenebilirim?,mail şifremi unuttum ne  yapmalıyım?,1
okul sis şifremi unuttum ne yapabilirm,mail şifremi unuttum ne  yapmalıyım?,1
Üniversite mail adresimi nasıl alacağım ?,Okul mailimi nasıl alabilirim ?,1
Üniversite mail adresimi nasıl alacağım ?,Okul mail adresimi nereden alabilirim ?,1
Okul mailimi nasıl alabilirim ?,Okul mail adresimi nereden alabilirim ?,1
Öğrenci İşleri’nin çalışma saatleri nelerdir?,Öğrenci işleri hangi saatler arası açık,1
Öğrenci İşleri’nin çalışma saatleri nelerdir?,Öğrenci işleri hangi saatlerde çalışıyor?,1
Öğrenci işleri hangi saatler arası açık,Öğrenci işleri hangi saatlerde çalışıyor?,1
Akademik yıl nedir?,Akademik yıl ne anlama geliyor,1
Akademik yıl nedir?,Akademik yıl ne demektir?,1
Akademik yıl ne anlama geliyor,Akademik yıl ne demektir?,1
Akademik Takvim nedir ve nereden ulaşabilirim?,akademik takvim ne anlama geliyor ve nereden bakabilirim,1
Akademik Takvim nedir ve nereden ulaşabilirim?,Akademik takvim ne demektir ve nasıl ulaşabilirim?,1
akademik takvim ne anlama geliyor ve nereden bakabilirim,Akademik takvim ne demektir ve nasıl ulaşabilirim?,1
Akademik personel sayınız kaçtır ?,Akademik çalışanlar hakkında bilgi nasıl alabilirim?,1
Akademik personel sayınız kaçtır ?,Üniversitenizde kaç akademik çalışan mevcuttur?,1
Akademik çalışanlar hakkında bilgi nasıl alabilirim?,Üniversitenizde kaç akademik çalışan mevcuttur?,1
Öğrenci işleri'ne nasıl ulaşabilirim?,Öğrenci işlerine ulaşmam gerekiyor ne yapmalıyım,1
Öğrenci işleri'ne nasıl ulaşabilirim?,Öğrenci işleri'ne ulaşmanın yolu nedir ?,1
Öğrenci işlerine ulaşmam gerekiyor ne yapmalıyım,Öğrenci işleri'ne ulaşmanın yolu nedir ?,1
Dikey Geçiş Nasıl Yapabilirim,Dikey geçiş için ne yapmalıyım,1
Dikey Geçiş Nasıl Yapabilirim,Dikey geçiş nasıl yapılabilir?,1
Dikey geçiş için ne yapmalıyım,Dikey geçiş nasıl yapılabilir?,1
İç yatay geçiş (bölüm değiştirme) nasıl yapılır  kimler başvurabilir?,okul içi bölüm değiştirme nasıl yapılıyor?,1
İç yatay geçiş (bölüm değiştirme) nasıl yapılır  kimler başvurabilir?,Okul içi Yatay geçiş nasıl yapılıyor ve şartları nelerdir?,1
okul içi bölüm değiştirme nasıl yapılıyor?,Okul içi Yatay geçiş nasıl yapılıyor ve şartları nelerdir?,1
