,q1,q2
32,Görevli öğrenciler için herhangi bir şart var mı ,Görevli Öğrenci Programına alım için gerekli şartlar nelerdir?
33,Başvuru süresini kaçırdım. Ne yapmam gerekir?,Görevli öğrenci için başvuruyu kaçıranlar ne yapmalı
34,Başvuru süresini kaçırdım. Ne yapmam gerekir?,Başvuruyu zamanında yapamadım. Ekstra zaman tanınacak mı?
35,Görevli öğrenci için başvuruyu kaçıranlar ne yapmalı,Başvuruyu zamanında yapamadım. Ekstra zaman tanınacak mı?
36,Üniversite’nin hangi birimlerinde çalışabilirim?,Üniversitede çalışma olanakları nelerdir
37,Üniversite’nin hangi birimlerinde çalışabilirim?,Üniversitede hangi birimlerde çalışma imkanı sağlanıyor?
38,Üniversitede çalışma olanakları nelerdir,Üniversitede hangi birimlerde çalışma imkanı sağlanıyor?
39,Görevli Öğrenci Programı’na başlarsam alacağım destek nelerdir?,Görevli çalışan öğrenci için ne gibi destek alıyorum
40,Görevli Öğrenci Programı’na başlarsam alacağım destek nelerdir?,Üniversitede çalışmak ne gibi imkanlar sağlar?
41,Görevli çalışan öğrenci için ne gibi destek alıyorum,Üniversitede çalışmak ne gibi imkanlar sağlar?
42,Başvurum hangi kriterlere göre değerlendirilmekte?,Çalışan öğrencide değerlendirme nasıl yapılıyor
43,Başvurum hangi kriterlere göre değerlendirilmekte?,Üniversitede çalışmak için hangi kriterlere bakılıyor?
44,Çalışan öğrencide değerlendirme nasıl yapılıyor,Üniversitede çalışmak için hangi kriterlere bakılıyor?
45,Başvurum olumlu ise takip etmem gereken başka bir süreç var mı?,Çalışan Öğrenci başvurum başarılı olursa ne yapmalıyım
46,Başvurum olumlu ise takip etmem gereken başka bir süreç var mı?,Olumlu dönüş alırsam başka yapmam gereken bişey var mı ?
47,Çalışan Öğrenci başvurum başarılı olursa ne yapmalıyım,Olumlu dönüş alırsam başka yapmam gereken bişey var mı ?
48,Başvurum olumsuz ise tekrar ne zaman başvurabilirim?,Çalışan öğrenci başvurum başarısız olursa ne zaman tekrar başvurabilir miyim
49,Başvurum olumsuz ise tekrar ne zaman başvurabilirim?,Olumsuz dönüş alırsam tekrar başvurular ne zaman olur ?
50,Çalışan öğrenci başvurum başarısız olursa ne zaman tekrar başvurabilir miyim,Olumsuz dönüş alırsam tekrar başvurular ne zaman olur ?
51,Görevli Öğrenci Programı’na başladığımda derslerime olumsuz etkisi olur mu?,Görevli öğrenci olduğumda derslerim olumsuz etkilenir mi
52,Görevli Öğrenci Programı’na başladığımda derslerime olumsuz etkisi olur mu?,Üniversitede çalışırsam derslerim ile çakışır mı?
53,Görevli öğrenci olduğumda derslerim olumsuz etkilenir mi,Üniversitede çalışırsam derslerim ile çakışır mı?
54,Kariyer Merkezi’nin sunduğu hizmetler ücretli midir?,Kariyer merkezindeki hizmetler ücrete tabi mi
55,Kariyer Merkezi’nin sunduğu hizmetler ücretli midir?,Kariyer merkezindeki imkanlar ücretli mi?
56,Kariyer merkezindeki hizmetler ücrete tabi mi,Kariyer merkezindeki imkanlar ücretli mi?
57,İstanbul Bilgi Üniversitesi dışından gelen arkadaşlarım Kariyer Merkezi etkinliklerine katılabilir mi?,Üniversite dışından gelenler kariyer merkezinden yararlanabilirler mi
58,İstanbul Bilgi Üniversitesi dışından gelen arkadaşlarım Kariyer Merkezi etkinliklerine katılabilir mi?,Aynı üniversiteden olmayanlar kariyer merkezindeki etkinliklere katılabilir mi?
59,Üniversite dışından gelenler kariyer merkezinden yararlanabilirler mi,Aynı üniversiteden olmayanlar kariyer merkezindeki etkinliklere katılabilir mi?
60,Kariyer Merkezi bana iş/staj bulur mu?,Kariyer merkezi iş ve staj konusunda yardımcı oluyor mu
61,Kariyer Merkezi bana iş/staj bulur mu?,Üniversite iş ve staj konusunda yardım ediyor mu ?
62,Kariyer merkezi iş ve staj konusunda yardımcı oluyor mu,Üniversite iş ve staj konusunda yardım ediyor mu ?
63,Gönüllü staj nedir? Benim için avantajı nelerdir?,Gönüllü staj yapmak nedir
64,Gönüllü staj nedir? Benim için avantajı nelerdir?,Gönüllü staj ne demektir?
65,Gönüllü staj yapmak nedir,Gönüllü staj ne demektir?
66,Gönüllü staj yapmak istiyorum. Ne yapmam gerekir?,Gönüllü staj için ne yapmalıyım
67,Gönüllü staj yapmak istiyorum. Ne yapmam gerekir?,Gönüllü staj için ne yapmak gerekir?
68,Gönüllü staj için ne yapmalıyım,Gönüllü staj için ne yapmak gerekir?
69,Kariyer Merkezi beni bana uygun olan işlere yönlendirir mi?,kariyer merkezi uygun işlere yönlendirebiliyor mu
70,Kariyer Merkezi beni bana uygun olan işlere yönlendirir mi?,Kariyer merkezi kendi alanıma uygun işlere yönlendirebilir mi ?
71,kariyer merkezi uygun işlere yönlendirebiliyor mu,Kariyer merkezi kendi alanıma uygun işlere yönlendirebilir mi ?
72,Kariyer Merkezi’nden hangi hizmetleri alabilirim?,kariyer merkezinin hizmetleri nelerdir
73,Kariyer Merkezi’nden hangi hizmetleri alabilirim?,Kariyer merkezi hangi konularda yardımcı olabilir?
74,kariyer merkezinin hizmetleri nelerdir,Kariyer merkezi hangi konularda yardımcı olabilir?
75,Koçluk ve danışmanlık arasındaki fark nedir?,koçluk ve danışmanlık nedir farkları var mıdır
76,Koçluk ve danışmanlık arasındaki fark nedir?,Koçluk ve Danışmanlık ne demektir aralarındaki fark nedir?
77,koçluk ve danışmanlık nedir farkları var mıdır,Koçluk ve Danışmanlık ne demektir aralarındaki fark nedir?
78,Sertifika programlarına katılım şartı nedir?,sertifika programlarına katılım için ne gibi şartlar gereklidir.
79,Sertifika programlarına katılım şartı nedir?,Sertifika programlarına katılım kriterleri nelerdir?
80,sertifika programlarına katılım için ne gibi şartlar gereklidir.,Sertifika programlarına katılım kriterleri nelerdir?
81,Sertifika Programlarından katılım belgesi alma şartları nelerdir?,sertifika programından katılım sertifikası nasıl alırız
82,Sertifika Programlarından katılım belgesi alma şartları nelerdir?,Sertifika programlarından katılım belgesi alma kriterleri nelerdir?
83,sertifika programından katılım sertifikası nasıl alırız,Sertifika programlarından katılım belgesi alma kriterleri nelerdir?
84,Sertifika programları sonunda staj imkanı sağlanır mı?,sertifika programlarında sataj olanakları nelerdir
85,Sertifika programları sonunda staj imkanı sağlanır mı?,Sertifika programlarının staj bulmada faydası var mı ?
86,sertifika programlarında sataj olanakları nelerdir,Sertifika programlarının staj bulmada faydası var mı ?
87,Öğrenci değil  mezunum. Kariyer Merkezi’nden ben de faydalanabilir miyim?,mezun olan öğrenciler kariyer merkezinden yararlanabilir mi?
88,Öğrenci değil  mezunum. Kariyer Merkezi’nden ben de faydalanabilir miyim?,Okulu bitirmiş olanlar kariyer merkezinden yararlanabilir mi ?
89,mezun olan öğrenciler kariyer merkezinden yararlanabilir mi?,Okulu bitirmiş olanlar kariyer merkezinden yararlanabilir mi ?
90,Mentorluk Programı nedir?,mentorluk programı tam olarak ne işe yarar
91,Mentorluk Programı nedir?,Mentorluk Programı ne demektir?
92,mentorluk programı tam olarak ne işe yarar,Mentorluk Programı ne demektir?
93,Kariyer Merkezi hangi saatler arası çalışır?,kariyer merkezi ne zaman açık oluyor
94,Kariyer Merkezi hangi saatler arası çalışır?,Kariyer merkezi çalışma saatleri nedir?
95,kariyer merkezi ne zaman açık oluyor,Kariyer merkezi çalışma saatleri nedir?
96,Kariyer Merkezi’ne nasıl başvurabilirim?,kariyer merkezine nasıl başvuru yapılır
97,Kariyer Merkezi’ne nasıl başvurabilirim?,Kariyer merkezine başvurma yolu nedir?
98,kariyer merkezine nasıl başvuru yapılır,Kariyer merkezine başvurma yolu nedir?
99,Kaynak gecikme bedelini nasıl ödeyebilirim?,kitapların ve kaynakları gecikme bedelini nasıl ödeyeceğim
100,Kaynak gecikme bedelini nasıl ödeyebilirim?,Kaynak ve kitapların gecikme ücretini nasıl öderim ?
101,kitapların ve kaynakları gecikme bedelini nasıl ödeyeceğim,Kaynak ve kitapların gecikme ücretini nasıl öderim ?
102,Kütüphanelerarası ödünç verme yoluyla (ILL) nasıl kitap getirtebilirim?,diğer kütüphanelerden ILL ile nasıl kitap getirtebilirim 
103,Kütüphanelerarası ödünç verme yoluyla (ILL) nasıl kitap getirtebilirim?,ILL yoluyla kitap getirmek nasıl oluyor ?
104,diğer kütüphanelerden ILL ile nasıl kitap getirtebilirim ,ILL yoluyla kitap getirmek nasıl oluyor ?
105,Kütüphane hangi saatlerde açıktır?,kütüphane hangi saatler arası açık oluyor
106,Kütüphane hangi saatlerde açıktır?,Kütüphanenin çalışma saatleri nedir?
107,kütüphane hangi saatler arası açık oluyor,Kütüphanenin çalışma saatleri nedir?
108,Şifremi unuttum. Ne yapmalıyım?,şifremi unuttum nasıl alırım
109,Şifremi unuttum. Ne yapmalıyım?,Şifremi kaybettim nasıl alabilirim?
110,şifremi unuttum nasıl alırım,Şifremi kaybettim nasıl alabilirim?
111,Ödünç aldığım kaynağın kullanım süresini nasıl uzatabilirim?,aldığım kitapların ve kaynakların süresini nasıl uzatabilirim
112,Ödünç aldığım kaynağın kullanım süresini nasıl uzatabilirim?,Kütüphaneden kitap aldım süresini nasıl uzatabilirim ?
113,aldığım kitapların ve kaynakların süresini nasıl uzatabilirim,Kütüphaneden kitap aldım süresini nasıl uzatabilirim ?
114,İstanbul Bilgi Üniversitesi'nden mezun öğrenciler Kütüphane'den faydalanabilir mi?,mezun öğrenciler kütüphaneden yararlanabiliyorlar mı
115,İstanbul Bilgi Üniversitesi'nden mezun öğrenciler Kütüphane'den faydalanabilir mi?,Okulu bitirmiş öğrenciler kütüphaneden faydalanabilir mi ?
116,mezun öğrenciler kütüphaneden yararlanabiliyorlar mı,Okulu bitirmiş öğrenciler kütüphaneden faydalanabilir mi ?
117,PIN nasıl oluşturulur?,PIN numarası nedir nasıl oluşturulur
118,PIN nasıl oluşturulur?,PIN kodu ne demektir ve nasıl alınır?
119,PIN numarası nedir nasıl oluşturulur,PIN kodu ne demektir ve nasıl alınır?
120,E-kitaplardan nasıl yararlanabilirim?,E-kitap olanakları nelerdir nasıl yararlanırım
121,E-kitaplardan nasıl yararlanabilirim?,E-kitap imkanları nedir nasıl faydalanabilirim?
122,E-kitap olanakları nelerdir nasıl yararlanırım,E-kitap imkanları nedir nasıl faydalanabilirim?
123,Öğrenci İşleri’nin çalışma saatleri nelerdir?,Öğrenci işleri hangi saatler arası açık
124,Öğrenci İşleri’nin çalışma saatleri nelerdir?,Öğrenci işleri hangi saatlerde çalışıyor?
125,Öğrenci işleri hangi saatler arası açık,Öğrenci işleri hangi saatlerde çalışıyor?
126,Akademik yıl nedir?,Akademik yıl ne anlama geliyor
127,Akademik yıl nedir?,Akademik yıl ne demektir?
128,Akademik yıl ne anlama geliyor,Akademik yıl ne demektir?
129,Akademik Takvim nedir ve nereden ulaşabilirim?,akademik takvim ne anlama geliyor ve nereden bakabilirim
130,Akademik Takvim nedir ve nereden ulaşabilirim?,Akademik takvim ne demektir ve nasıl ulaşabilirim?
131,akademik takvim ne anlama geliyor ve nereden bakabilirim,Akademik takvim ne demektir ve nasıl ulaşabilirim?
132,SIS şifremi hatırlamıyorum. Ne yapmalıyım?,SIS şifremi hatırlamıyorum ne yapabilirim
133,SIS şifremi hatırlamıyorum. Ne yapmalıyım?,SIS şifremi unuttum nasıl alabirim?
134,SIS şifremi hatırlamıyorum ne yapabilirim,SIS şifremi unuttum nasıl alabirim?
135,Öğrenci işleri'ne nasıl ulaşabilirim?,Öğrenci işlerine ulaşmam gerekiyor ne yapmalıyım
136,Öğrenci işleri'ne nasıl ulaşabilirim?,Öğrenci işleri'ne ulaşmanın yolu nedir ?
137,Öğrenci işlerine ulaşmam gerekiyor ne yapmalıyım,Öğrenci işleri'ne ulaşmanın yolu nedir ?
138,Dikey Geçiş Nasıl Yapabilirim,Dikey geçiş için ne yapmalıyım
139,Dikey Geçiş Nasıl Yapabilirim,Dikey geçiş nasıl yapılabilir?
140,Dikey geçiş için ne yapmalıyım,Dikey geçiş nasıl yapılabilir?
141,İç yatay geçiş (bölüm değiştirme) nasıl yapılır  kimler başvurabilir?,okul içi bölüm değiştirme nasıl yapılıyor?
142,İç yatay geçiş (bölüm değiştirme) nasıl yapılır  kimler başvurabilir?,Okul içi Yatay geçiş nasıl yapılıyor ve şartları nelerdir?
143,okul içi bölüm değiştirme nasıl yapılıyor?,Okul içi Yatay geçiş nasıl yapılıyor ve şartları nelerdir?
144,Dış yatay geçiş nedir  kimler başvurabilir?,dış yatay geçiş nasıl yapılır?
145,Dış yatay geçiş nedir  kimler başvurabilir?,Dış yatay geçiş şartları nelerdir?
146,dış yatay geçiş nasıl yapılır?,Dış yatay geçiş şartları nelerdir?
147,Çift ana dal (Double Major) nedir? Kimler başvurabilir?,çift anadala kimler başvurabilir
148,Çift ana dal (Double Major) nedir? Kimler başvurabilir?,Çift anadal ne demektir ve şartları nelerdir?
149,çift anadala kimler başvurabilir,Çift anadal ne demektir ve şartları nelerdir?
150,Yan dal (Minor) nedir? Kimler başvurabilir?,yan dal nedir ve nasıl başvurulur
151,Yan dal (Minor) nedir? Kimler başvurabilir?,Yandal ne demektir ve şartları nelerdir?
152,yan dal nedir ve nasıl başvurulur,Yandal ne demektir ve şartları nelerdir?
153,Öğrenci İşleri’nden hangi belgeleri alabilirim ve nasıl başvuruda bulunabilirim?,Öğrenci işlerinden belge nasıl alırım
154,Öğrenci İşleri’nden hangi belgeleri alabilirim ve nasıl başvuruda bulunabilirim?,Öğrenci işlerinden ne tür belgeler alabilirim?
155,Öğrenci işlerinden belge nasıl alırım,Öğrenci işlerinden ne tür belgeler alabilirim?
156,Öğrenci kimliğimi nasıl ve nereden alabilirim?,öğrenci kimliğimi nereden alabilirim
157,Öğrenci kimliğimi nasıl ve nereden alabilirim?,Öğrenci kimliği nasıl alınır ve nereden alabilirim?
158,öğrenci kimliğimi nereden alabilirim,Öğrenci kimliği nasıl alınır ve nereden alabilirim?
159,Öğrenci kimliğimi kaybettim. Nasıl yenileyebilirim?,öğrenci kimliğim kayboldu ne yapmalıyım
160,Öğrenci kimliğimi kaybettim. Nasıl yenileyebilirim?,Öğrenci kimliğimi bulamıyorum yenileyebilirmiyim ?
161,öğrenci kimliğim kayboldu ne yapmalıyım,Öğrenci kimliğimi bulamıyorum yenileyebilirmiyim ?
162,İstanbulkart (paso-iett seyahat kartı) nasıl alabilirim?,istanbulkartımı nasıl alırım
163,İstanbulkart (paso-iett seyahat kartı) nasıl alabilirim?,İstanbulkartı nereden alabilirim?
164,istanbulkartımı nasıl alırım,İstanbulkartı nereden alabilirim?
165,Adres ve/veya iletişim bilgilerimde değişiklik oldu. Ne yapmalıyım?,adresimi ve iletişim bilgilerimi nasıl güncellerim
166,Adres ve/veya iletişim bilgilerimde değişiklik oldu. Ne yapmalıyım?,Ulaşım bilgilerim değişti nasıl güncellerim?
167,adresimi ve iletişim bilgilerimi nasıl güncellerim,Ulaşım bilgilerim değişti nasıl güncellerim?
168,Transkriptimi (Not Durum Belgesi) nasıl alırım?,transkriptimi nerden ve nasıl alabilirim
169,Transkriptimi (Not Durum Belgesi) nasıl alırım?,Transkript nasıl alınır?
170,transkriptimi nerden ve nasıl alabilirim,Transkript nasıl alınır?
171,Başarı sıramı nasıl öğrenebilirim?,başarı sıramı nereden öğrenebilirim
172,Başarı sıramı nasıl öğrenebilirim?,Başarı sırasına nereden bakılıyor?
173,başarı sıramı nereden öğrenebilirim,Başarı sırasına nereden bakılıyor?
174,(Erkek öğrenciler için) Askerlik ertelemem için ne yapmam gerekli?,Askerliğimi nasıl erteleyebilirim
175,(Erkek öğrenciler için) Askerlik ertelemem için ne yapmam gerekli?,Askerlik erteleyebilirmiyim nereden erteleyebilirim?
176,Askerliğimi nasıl erteleyebilirim,Askerlik erteleyebilirmiyim nereden erteleyebilirim?
177,Kaydımı nasıl dondurabilirim?,Kaydımı dondurmak istiyorum ne yapmalıyım
178,Kaydımı nasıl dondurabilirim?,Okulumu dondurmak istiyorum nasıl yaparım?
179,Kaydımı dondurmak istiyorum ne yapmalıyım,Okulumu dondurmak istiyorum nasıl yaparım?
180,Ne zamana kadar kayıt dondurma başvurusunda bulunabilirim?,kayıt dondurma için ne zaman başvurabilirim
181,Ne zamana kadar kayıt dondurma başvurusunda bulunabilirim?,Kayıt dondurma ne zamana kadar yapılabilir?
182,kayıt dondurma için ne zaman başvurabilirim,Kayıt dondurma ne zamana kadar yapılabilir?
183,Kaç dönem kayıt dondurabilirim?,kaç kez kayıt dondurabilirim
184,Kaç dönem kayıt dondurabilirim?,Ne kadar süreliğine kayıt dondurabilirim ?
185,kaç kez kayıt dondurabilirim,Ne kadar süreliğine kayıt dondurabilirim ?
186,Kaydımı nasıl sildirebilirim?,kaydımı sildirmek istiyorum ne yapmalıyım
187,Kaydımı nasıl sildirebilirim?,Kayıt silme işlemi nasıl yapılıyor?
188,kaydımı sildirmek istiyorum ne yapmalıyım,Kayıt silme işlemi nasıl yapılıyor?
189,Almakla yükümlü olduğum kredileri  müfredatı nereden görebilirim?,almam gereken kredileri ve müfredatı nereden görebilirim?
190,Almakla yükümlü olduğum kredileri  müfredatı nereden görebilirim?,Almam gereken ders kredilerini nereden bulabilirim?
191,almam gereken kredileri ve müfredatı nereden görebilirim?,Almam gereken ders kredilerini nereden bulabilirim?
192,Derslerin içerikleri hakkında nerden bilgi alabilirim?,derslerin içerikleri nelerdir nereden görebilirim
193,Derslerin içerikleri hakkında nerden bilgi alabilirim?,Ders içerik bilgilerini nereden alabilitim?
194,derslerin içerikleri nelerdir nereden görebilirim,Ders içerik bilgilerini nereden alabilitim?
195,Derslere devam zorunluluğu var mı?,Derslerde yoklama alınıyor mu
196,Derslere devam zorunluluğu var mı?,Derslere devam etmem gerekiyor mu ?
197,Derslerde yoklama alınıyor mu,Derslere devam etmem gerekiyor mu ?
198,Aldığım bir dersten başarısız olursam  ne yapmalıyım?,bir dersten kalırsam ne yapmalıyım?
199,Aldığım bir dersten başarısız olursam  ne yapmalıyım?,Dersten başarısız olunursa ne yapılmalı?
200,bir dersten kalırsam ne yapmalıyım?,Dersten başarısız olunursa ne yapılmalı?
201,Daha önceden aldığım ve başarılı olduğum bir dersi tekrar edebilir miyim?,geçtiğim bir dersi tekrar alabiliyor muyum
202,Daha önceden aldığım ve başarılı olduğum bir dersi tekrar edebilir miyim?,Verdiğim dersi tekrar alabilirmiyim?
203,geçtiğim bir dersi tekrar alabiliyor muyum,Verdiğim dersi tekrar alabilirmiyim?
204,Ders muafiyeti nedir  nasıl ders muafiyeti alabilirim?,derslerden nasıl muaf olurum?
205,Ders muafiyeti nedir  nasıl ders muafiyeti alabilirim?,Ders  muafiyeti ne demektir ve dersleri nasıl muaf edebiliriö?
206,derslerden nasıl muaf olurum?,Ders  muafiyeti ne demektir ve dersleri nasıl muaf edebiliriö?
207,Başka bir üniversiteden ders almam mümkün mü?,başka üniversitelerden ders alabiliyor muyum
208,Başka bir üniversiteden ders almam mümkün mü?,Başka üniversiteden ders alma imkanı var mı?
209,başka üniversitelerden ders alabiliyor muyum,Başka üniversiteden ders alma imkanı var mı?
210,Bir dersin öğretim elemanına nasıl ulaşabilirim?,bir dersin hocasıyla nasıl iletişim kurarım
211,Bir dersin öğretim elemanına nasıl ulaşabilirim?,Dersi veren hocayla nasıl konuşabilrim?
212,bir dersin hocasıyla nasıl iletişim kurarım,Dersi veren hocayla nasıl konuşabilrim?
213,Ders kaydımı nasıl yapabilirim?,ders kaydı için ne yapmalıyım
214,Ders kaydımı nasıl yapabilirim?,Ders kaydı işlemi nasıl yapılır?
215,ders kaydı için ne yapmalıyım,Ders kaydı işlemi nasıl yapılır?
216,Ders programımı ne zaman ve nereden görebilirim?,ders programımı nereden görebilirim
217,Ders programımı ne zaman ve nereden görebilirim?,Ne zaman ders programımı görebilirim ve nereden yayınlanıyor?
218,ders programımı nereden görebilirim,Ne zaman ders programımı görebilirim ve nereden yayınlanıyor?
219,Ders kaydıma nasıl onay alabilirim?,ders kaydımı nasıl onaylayabilirim
220,Ders kaydıma nasıl onay alabilirim?,Ders kaydı mı onaylatmam gerekiyor mu nasıl onaylatabilirim?
221,ders kaydımı nasıl onaylayabilirim,Ders kaydı mı onaylatmam gerekiyor mu nasıl onaylatabilirim?
222,Akademik danışman kimdir?,akademik danışmanım kim nasıl öğrenebilirim
223,Akademik danışman kimdir?,Akademik danışman nedir ve kimlerdir?
224,akademik danışmanım kim nasıl öğrenebilirim,Akademik danışman nedir ve kimlerdir?
225,Bir dönemde en az ve en fazla kaç kredi alabilirim?,bir dönemde en fazla kaç veya en az kaç kredi alabilirim
226,Bir dönemde en az ve en fazla kaç kredi alabilirim?,Bir dönemlik kredi sınırı nedir?
227,bir dönemde en fazla kaç veya en az kaç kredi alabilirim,Bir dönemlik kredi sınırı nedir?
228,Ön koşul (prerequisite) nedir?,önkoşul ne anlama geliyor
229,Ön koşul (prerequisite) nedir?,Ön koşul ne demektir?
230,önkoşul ne anlama geliyor,Ön koşul ne demektir?
231,Özel izin (Consent) nedir?,özel izin ne anlama geliyor
232,Özel izin (Consent) nedir?,Özel izin ne demektir?
233,özel izin ne anlama geliyor,Özel izin ne demektir?
234,Öğrenim ücretini ders kayıtlarından sonra ödersem  derslere kayıt yaptırabilir miyim?,okul ücretini kayıtlardan sonra ödeyebilir miyim?
235,Öğrenim ücretini ders kayıtlarından sonra ödersem  derslere kayıt yaptırabilir miyim?,Öğrenim ücreti ödemeden ders kaydı yaptırabilir miyim?
236,okul ücretini kayıtlardan sonra ödeyebilir miyim?,Öğrenim ücreti ödemeden ders kaydı yaptırabilir miyim?
237,Ders kayıtlarından sonra bir dersi bırakıp başka bir ders almak istiyorum. Nasıl ve ne zaman bu değişikliği yapabilirim?,kayıtlardan sonra ders ekleme çıkarma nasıl yaparım
238,Ders kayıtlarından sonra bir dersi bırakıp başka bir ders almak istiyorum. Nasıl ve ne zaman bu değişikliği yapabilirim?,Ders kaydı sonrasında ders değişimi yapılabilir mi. Nasıl yapılır?
239,kayıtlardan sonra ders ekleme çıkarma nasıl yaparım,Ders kaydı sonrasında ders değişimi yapılabilir mi. Nasıl yapılır?
240,Aldığım bir dersten nasıl ve ne zamana kadar çekilebilirim (withdrawal)?,aldığım bir dersten çekilebilir miyim ne zaman kadar yapabilirim
241,Aldığım bir dersten nasıl ve ne zamana kadar çekilebilirim (withdrawal)?,Alınan dersi bırakmanın zamanı nedir ve nasıl bırakılır?
242,aldığım bir dersten çekilebilir miyim ne zaman kadar yapabilirim,Alınan dersi bırakmanın zamanı nedir ve nasıl bırakılır?
243,Ara ve final sınav programımı ne zaman ve nereden görebilirim?,sınav takvimini nereden görebilirim
244,Ara ve final sınav programımı ne zaman ve nereden görebilirim?,Vize ve final sınav takvimi ne zaman açıklanır nasıl bulabilirim?
245,sınav takvimini nereden görebilirim,Vize ve final sınav takvimi ne zaman açıklanır nasıl bulabilirim?
246,Bütünleme sınavı nedir  kimler girebilir.,bütünleme sınavına girebilir miyim
247,Bütünleme sınavı nedir  kimler girebilir.,Bütünleme nasıl olur şartları nedir?
248,bütünleme sınavına girebilir miyim,Bütünleme nasıl olur şartları nedir?
249,Mazeret sınavı nedir  kimler başvurabilir?,mazaret sınavına girmek istiyorum ne yapmalıyım
250,Mazeret sınavı nedir  kimler başvurabilir?,Mazeret sınavı ne demektir ve şartları nedir?
251,mazaret sınavına girmek istiyorum ne yapmalıyım,Mazeret sınavı ne demektir ve şartları nedir?
252,Notlarımı ne zaman ve nereden görebilirim?,ders notlarımı nasıl öğrenebilirim
253,Notlarımı ne zaman ve nereden görebilirim?,Notlar ne zaman açıklanır ve nereden ulaşabilirim?
254,ders notlarımı nasıl öğrenebilirim,Notlar ne zaman açıklanır ve nereden ulaşabilirim?
255,Notlarıma nasıl itiraz edebilirim?,notum çok düşük geldi itiraz etmek istiyorum
256,Notlarıma nasıl itiraz edebilirim?,Sınav puanıma nasıl itiraz ederim?
